[13:10:25] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[13:10:25] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[13:10:25] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:10:25] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:10:25] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[13:10:25] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:10:25] [main/INFO]: Reloading ResourceManager: Default
[13:10:27] [Worker-Main-2/INFO]: Loaded 7 recipes
[13:10:27] [Worker-Main-2/INFO]: Loaded 927 advancements
[13:10:30] [Server thread/INFO]: Starting minecraft server version 1.16.5
[13:10:30] [Server thread/INFO]: Loading properties
[13:10:30] [Server thread/INFO]: Default game type: SURVIVAL
[13:10:30] [Server thread/INFO]: Generating keypair
[13:10:30] [Server thread/INFO]: Starting Minecraft server on *:25565
[13:10:31] [Server thread/INFO]: Using epoll channel type
[13:10:31] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[13:10:31] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[13:10:31] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[13:10:31] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[13:10:31] [Server thread/INFO]: Preparing level "world"
[13:10:37] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[13:10:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:10:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:10:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:10:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:10:39] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[13:10:40] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[13:10:40] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[13:10:41] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[13:10:41] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[13:10:42] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[13:10:42] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[13:10:43] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[13:10:43] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[13:10:44] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[13:10:44] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[13:10:45] [Worker-Main-2/INFO]: Preparing spawn area: 14%
[13:10:45] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[13:10:46] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[13:10:46] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[13:10:47] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[13:10:47] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[13:10:48] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[13:10:48] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[13:10:49] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[13:10:49] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[13:10:50] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[13:10:50] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[13:10:51] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[13:10:51] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[13:10:52] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[13:10:52] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[13:10:53] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[13:10:53] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[13:10:54] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[13:10:54] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[13:10:55] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[13:10:55] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[13:10:56] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[13:10:56] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[13:10:57] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[13:10:57] [Worker-Main-2/INFO]: Preparing spawn area: 67%
